Fase,Banco,Tipo de tronadura,Tipo Material,M,Dominio Estructural,Diámetro,BxS,Tiempo entre Pozos Filas ms,Fc,Tipo Explosivo,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Este,Norte,Cota,
Stage 5,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,498,J,0.1,0.6,0.9,1.5,2.6,3.9,5.1,6.5,9.4,15.1,59095.2,90292.2,2930.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,424,J,0.2,0.5,0.8,1.5,2.5,3.6,4.9,6.3,8.5,13.5,59276.7,90607.7,2990.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,424,J,0.4,0.8,1.3,1.9,2.7,3.6,4.8,6.4,9.3,14.6,59067.4,90335.2,2930.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x8,5-87,385,J,0.2,0.7,1.1,1.7,2.6,3.7,4.7,6.2,8.2,16.5,59278.6,90567.5,2990.0,
Stage 2,3575,Tronadura 2,Roca 1,L8,Norte,10 5/8,7x7,5-87,507,K,0.6,0.8,1.0,1.3,1.9,2.9,4.1,4.9,6.4,11.5,59238.4,91671.4,3575.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Noreste,12 1/4,6.5x6.5,11-105,471,L,0.4,0.8,1.1,1.7,2.4,3.4,4.5,5.7,7.4,13.8,59260.1,90222.2,2990.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2990,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,507,M,0.8,1.4,2.4,3.3,4.0,4.6,5.3,6.2,8.5,9.6,59200.0,90467.0,2990.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,507,L,0.9,1.3,1.7,2.3,3.0,3.8,4.5,5.6,7.2,13.0,59243.0,90237.0,2990.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2990,Tronadura 2,Roca 1,L4,Noreste,12 1/4,6.5x6.5,11-105,471,M,0.5,1.1,2.2,3.1,4.1,4.7,6.3,6.8,8.9,10.8,59227.0,90384.0,2990.0,
